parts_code,parts_name,in_qty,out_qty,net_change,closing_balance,txn_count
PT4445,"PT4445",213,0,213,220,1
PT4464,"PT4464",31,3880,-3849,-3849,42
PT4466,"PT4466",2,271,-269,-269,5
PT4467,"PT4467",4386,3001,1385,1385,33
PT4475,"PT4475",51,51,0,0,2
PT4481,"PT4481",88,88,0,0,2
PT4485,"PT4485",2,51,-49,-49,3
PT4487,"PT4487",202,202,0,0,2
PT4499,"PT4499",0,4103,-4103,-4103,1
PT4543,"PT4543",104,104,0,0,2
PT4544,"PT4544",0,101,-101,-101,1
PT4592,"PT4592",3496,1698,1798,1798,12
PT4593,"PT4593",140,140,0,0,2
PT4595,"PT4595",504,1060,-556,-556,3
PT4596,"PT4596",630,630,0,0,2
PT4605,"PT4605",218,218,0,0,2
PT4609,"PT4609",0,653,-653,-653,3
PT4610,"PT4610",153,153,0,0,2
PT4612,"PT4612",4728,4626,102,102,13
PT4613,"PT4613",9,6342,-6333,-6333,17
PT4631,"PT4631",234,234,0,0,2
PT4632,"PT4632",216,216,0,0,2
PT4642,"PT4642",9,420,-411,-411,8
PT4644,"PT4644",727,323,404,404,5
PT4646,"PT4646",2576,3373,-797,-797,7
PT4647,"PT4647",132,132,0,0,2
PT4649,"PT4649",132,132,0,0,2
PT4663,"PT4663",1248,968,280,280,3
PT4690,"PT4690",459,456,3,3,2
PT4691,"PT4691",0,100,-100,-100,1
PT4693,"PT4693",0,135,-135,-135,1
PT4694,"PT4694",0,120,-120,-120,1
PT4696,"PT4696",1,1042,-1041,-1041,7
PT4699,"PT4699",1264,14,1250,1250,9
PT4707,"PT4707",0,578,-578,-578,3
PT4709,"PT4709",0,1000,-1000,-1000,2
PT4710,"PT4710",2203,2445,-242,-242,18
PT4711,"PT4711",2221,2110,111,111,10
PT4712,"PT4712",2203,1649,554,554,15
PT4714,"PT4714",0,254,-254,-254,3
PT4717,"PT4717",0,101,-101,-101,1
PT4718,"PT4718",528,0,528,528,1
PT4719,"PT4719",920,532,388,388,7
PT4721,"오아시스미니마사지건_화이트",0,30,-30,-30,1
PT4723,"PT4723",0,30,-30,-30,1
PT4726,"PT4726",0,2355,-2355,-2355,12
PT4727,"PT4727",2050,1809,241,241,20
PT4729,"PT4729",500,1022,-522,-522,7
PT4730,"PT4730",500,876,-376,-376,14
PT4731,"PT4731",5100,705,4395,4395,6
